City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,antofagasta,-23.65,-70.4,288.75,89,87,2.95,CL,1700717857
83,totness,5.8833,-56.3167,299.09,86,19,4.63,SR,1700718136
84,asifabad,19.3667,79.2833,302.9,45,5,2.31,IN,1700718137
85,freetown,8.484,-13.2299,299.99,83,40,1.54,SL,1700718066
86,fortuna,40.5982,-124.1573,285.18,93,100,0.0,US,1700718137
87,padangsidempuan,1.3667,99.2667,298.27,95,100,1.29,ID,1700718137
88,bambari,5.768,20.6757,297.25,88,97,0.97,CF,1700718137
89,lazaro cardenas,17.9583,-102.2,297.76,81,100,1.08,MX,1700718137
90,tolanaro,-25.0319,46.9987,301.19,65,20,10.8,MG,1700718046
91,keflavik,64.0049,-22.5624,274.39,55,75,11.83,IS,1700718137
92,mathba,22.2855,89.9629,299.5,48,0,3.07,BD,1700718137
93,korocha,50.8107,37.1953,263.55,93,22,2.92,RU,1700718137
94,afif,23.9065,42.9172,294.16,56,22,10.17,SA,1700718137
95,mitu,1.1983,-70.1733,295.89,97,81,0.86,CO,1700718137
96,prado,-17.3411,-39.2208,296.01,94,25,3.38,BR,1700718138
97,kargasok,59.0556,80.8572,263.69,84,100,4.02,RU,1700718138
98,zhangye,38.9342,100.4517,279.63,24,2,2.77,CN,1700718138
99,majene,-3.5403,118.9707,304.16,67,93,3.61,ID,1700718138
100,mugumu,-1.85,34.7,293.94,67,48,3.09,TZ,1700718138
101,konongo,6.6167,-1.2167,295.31,98,93,1.07,GH,1700718138
102,sabang,5.8933,95.3214,300.73,75,66,4.07,ID,1700718138
103,posto fiscal rolim de moura,-13.0833,-62.2667,297.21,75,45,1.18,BR,1700718138
104,buritizeiro,-17.3511,-44.9622,296.55,58,100,0.59,BR,1700718139
105,kitimat,54.0524,-128.6534,277.36,63,100,0.48,CA,1700718139
106,tazovsky,67.4667,78.7,254.67,97,100,7.11,RU,1700718139
107,puerto ayora,-0.7393,-90.3518,296.23,100,5,0.89,EC,1700717937
108,igarka,67.4667,86.5833,243.52,98,51,2.84,RU,1700718139
109,ancud,-41.8697,-73.8203,280.71,90,21,2.57,CL,1700718139
110,susuman,62.7833,148.1667,250.27,99,100,1.87,RU,1700718139
111,nagqu,31.5,92.0,268.91,16,0,3.05,CN,1700718139
112,sitka,57.0531,-135.33,282.09,66,100,8.75,US,1700718139
113,shaowu,27.3409,117.4831,297.06,50,2,0.91,CN,1700718139
114,east london,-33.0153,27.9116,295.67,56,0,2.06,ZA,1700718140
115,paciran,-6.8767,112.3761,305.72,57,100,3.74,ID,1700718140
116,hithadhoo,-0.6,73.0833,301.04,78,91,4.59,MV,1700718140
117,port-vila,-17.7338,168.3219,299.93,65,40,5.66,VU,1700718026
118,marchena,37.329,-5.4168,280.93,74,4,4.71,ES,1700717897
119,ghat,24.9647,10.1728,286.68,34,0,2.94,LY,1700718140
120,ust-nera,64.5667,143.2,248.12,93,100,2.16,RU,1700718140
121,sechura,-5.5569,-80.8222,293.66,79,56,4.44,PE,1700718140
122,hovd,48.0056,91.6419,262.4,78,37,1.6,MN,1700718140
123,wamba,8.9333,8.6,295.25,71,5,1.19,NG,1700718140
124,houghton,47.1219,-88.569,276.86,78,100,6.69,US,1700718141
125,tura,25.5198,90.2201,299.17,54,1,0.98,IN,1700718141
126,whitehorse,60.7161,-135.0538,270.58,86,75,9.26,CA,1700718141
127,vinita,36.6387,-95.1541,277.18,77,0,3.76,US,1700718141
128,mek'ele,13.4967,39.4753,291.49,62,28,5.84,ET,1700718141
129,faya-largeau,17.9257,19.1043,295.31,25,83,3.01,TD,1700718141
130,santa ana de yacuma,-13.75,-65.4333,300.85,57,66,3.2,BO,1700718141
131,beberibe,-4.1797,-38.1306,299.48,78,2,5.61,BR,1700718141
132,avarua,-21.2078,-159.775,297.18,73,100,5.14,CK,1700718141
133,tazacorte,28.629,-17.9293,294.9,45,0,4.02,ES,1700718141
134,bonthe,7.5264,-12.505,298.26,90,12,1.66,SL,1700718141
135,balikpapan,-1.2675,116.8289,300.7,89,40,1.54,ID,1700718000
136,puerto aysen,-45.4,-72.7,279.12,100,100,1.79,CL,1700717869
137,yellowknife,62.456,-114.3525,257.27,95,0,3.6,CA,1700718142
138,jammalamadugu,14.8333,78.4,300.84,70,100,3.37,IN,1700718142
139,thompson,55.7435,-97.8558,255.24,71,0,6.17,CA,1700718142
140,atafu village,-8.5421,-172.5159,302.12,77,76,5.35,TK,1700718142
141,daru,-9.0763,143.2092,302.34,76,75,6.41,PG,1700718142
142,villa bruzual,9.3328,-69.1208,296.82,83,74,2.21,VE,1700718142
143,al ghayzah,16.2079,52.176,300.58,54,30,1.11,YE,1700718142
144,ha tinh,18.3333,105.9,294.98,93,100,3.42,VN,1700718142
145,ghanzi,-21.5667,21.7833,303.35,31,44,6.51,BW,1700718142
146,chernomorskoye,45.5039,32.6997,275.94,76,100,5.98,UA,1700718142
147,udachny,66.4167,112.4,253.2,96,99,5.21,RU,1700718142
148,bel ombre,-4.6167,55.4167,303.06,70,40,3.09,SC,1700718143
149,kargil,34.5667,76.1,275.42,23,46,0.94,IN,1700718143
150,ceylanpinar,36.8472,40.05,283.94,53,100,2.14,TR,1700717998
151,middlesboro,36.6084,-83.7166,279.72,87,100,0.0,US,1700718143
152,katsuura,35.1333,140.3,292.36,70,100,9.93,JP,1700718143
153,lompoc,34.6391,-120.4579,288.47,91,0,0.0,US,1700718143
154,raja,8.4596,25.678,300.47,33,40,1.33,SS,1700718143
155,winona,43.9666,-91.7668,277.07,60,0,1.54,US,1700718143
156,bilopillya,51.1502,34.3129,265.47,73,55,3.34,UA,1700718143
157,nayoro,44.3506,142.4578,285.85,82,35,6.34,JP,1700718143
158,wailua homesteads,22.0669,-159.378,298.39,92,100,4.12,US,1700718143
159,kaa-khem,51.6833,94.7333,255.82,84,21,0.85,RU,1700718143
160,westport,41.1415,-73.3579,281.94,86,100,2.24,US,1700718144
161,aasiaat,68.7098,-52.8699,267.72,75,100,5.37,GL,1700718144
